SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0
0,Lame MP3 Compression V1,0,0.01275,1.6256249999999997E-4
0,Lame MP3 Compression V2,1,0.11325,0.0128255625
0,Lame MP3 Compression V3,2,0.18575,0.0345030625
0,Lame MP3 Compression V4,3,0.30075,0.09045056250000001
0,Lame MP3 Compression V5,4,0.545,0.29702500000000004
0,Lame MP3 Compression V6,5,0.68425,0.4681980625
0,Lame MP3 Compression V7,6,0.6855,0.46991025
0,Lame MP3 Compression V8,7,0.92625,0.8579390625000001
0,Lame MP3 Compression V9,8,0.9605,0.9225602500000001
0,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
0,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
0,Lame Constant MP3 Compression Bitrate 128,11,0.01625,2.6406250000000003E-4
0,Lame Constant MP3 Compression Bitrate 64,12,0.657,0.43164900000000006
1,Lame MP3 Compression V1,0,0.1225,0.015006249999999999
1,Lame MP3 Compression V2,1,0.16475,0.027142562500000002
1,Lame MP3 Compression V3,2,0.17375,0.030189062499999995
1,Lame MP3 Compression V4,3,0.29075,0.08453556250000001
1,Lame MP3 Compression V5,4,0.54625,0.2983890625
1,Lame MP3 Compression V6,5,0.78575,0.6174030624999999
1,Lame MP3 Compression V7,6,0.79175,0.6268680624999999
1,Lame MP3 Compression V8,7,0.86325,0.7452005624999999
1,Lame MP3 Compression V9,8,0.91575,0.8385980624999999
1,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
1,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
1,Lame Constant MP3 Compression Bitrate 128,11,0.00675,4.5562499999999996E-5
1,Lame Constant MP3 Compression Bitrate 64,12,0.5335,0.28462224999999997
2,Lame MP3 Compression V1,0,0.028,7.840000000000001E-4
2,Lame MP3 Compression V2,1,0.12575,0.0158130625
2,Lame MP3 Compression V3,2,0.17475,0.030537562499999997
2,Lame MP3 Compression V4,3,0.2425,0.05880625
2,Lame MP3 Compression V5,4,0.49325,0.24329556250000003
2,Lame MP3 Compression V6,5,0.655,0.42902500000000005
2,Lame MP3 Compression V7,6,0.7345,0.5394902500000001
2,Lame MP3 Compression V8,7,0.914,0.835396
2,Lame MP3 Compression V9,8,0.94875,0.9001265625
2,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
2,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
2,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
2,Lame Constant MP3 Compression Bitrate 64,12,0.56975,0.3246150625
4,Lame MP3 Compression V1,0,0.01375,1.890625E-4
4,Lame MP3 Compression V2,1,0.10775,0.011610062499999999
4,Lame MP3 Compression V3,2,0.17275,0.029842562499999996
4,Lame MP3 Compression V4,3,0.26225,0.0687750625
4,Lame MP3 Compression V5,4,0.50425,0.2542680625
4,Lame MP3 Compression V6,5,0.74325,0.5524205624999999
4,Lame MP3 Compression V7,6,0.708,0.5012639999999999
4,Lame MP3 Compression V8,7,0.905,0.819025
4,Lame MP3 Compression V9,8,0.9435,0.89019225
4,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
4,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
4,Lame Constant MP3 Compression Bitrate 128,11,0.00675,4.5562499999999996E-5
4,Lame Constant MP3 Compression Bitrate 64,12,0.6255,0.3912502499999999
5,Lame MP3 Compression V1,0,0.0275,7.5625E-4
5,Lame MP3 Compression V2,1,0.10875,0.0118265625
5,Lame MP3 Compression V3,2,0.1585,0.025122250000000002
5,Lame MP3 Compression V4,3,0.29325,0.08599556250000001
5,Lame MP3 Compression V5,4,0.53825,0.2897130625
5,Lame MP3 Compression V6,5,0.707,0.49984899999999993
5,Lame MP3 Compression V7,6,0.7185,0.51624225
5,Lame MP3 Compression V8,7,0.91675,0.8404305624999999
5,Lame MP3 Compression V9,8,0.95025,0.9029750625
5,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
5,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
5,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
5,Lame Constant MP3 Compression Bitrate 64,12,0.58825,0.3460380625000001
6,Lame MP3 Compression V1,0,0.08525,0.0072675625000000015
6,Lame MP3 Compression V2,1,0.14475,0.020952562499999997
6,Lame MP3 Compression V3,2,0.18175,0.033033062499999995
6,Lame MP3 Compression V4,3,0.4015,0.16120225000000002
6,Lame MP3 Compression V5,4,0.59525,0.35432256249999994
6,Lame MP3 Compression V6,5,0.72575,0.5267130625
6,Lame MP3 Compression V7,6,0.737,0.543169
6,Lame MP3 Compression V8,7,0.86675,0.7512555625
6,Lame MP3 Compression V9,8,0.92225,0.8505450625000001
6,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
6,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
6,Lame Constant MP3 Compression Bitrate 128,11,0.001,1.0E-6
6,Lame Constant MP3 Compression Bitrate 64,12,0.59525,0.35432256249999994
7,Lame MP3 Compression V1,0,0.04,0.0016
7,Lame MP3 Compression V2,1,0.112,0.012544000000000001
7,Lame MP3 Compression V3,2,0.16575,0.027473062500000003
7,Lame MP3 Compression V4,3,0.287,0.08236899999999998
7,Lame MP3 Compression V5,4,0.4815,0.23184224999999997
7,Lame MP3 Compression V6,5,0.64675,0.41828556250000004
7,Lame MP3 Compression V7,6,0.698,0.4872039999999999
7,Lame MP3 Compression V8,7,0.9275,0.86025625
7,Lame MP3 Compression V9,8,0.953,0.9082089999999999
