SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0,PEAQ_OBJECTIVE_DIFFERENCE VARIANCE,COMPRESSION_RATIO,COMPRESSION_RATIO ^ 2.0,COMPRESSION_RATIO VARIANCE
0,Lame MP3 Compression V1,0,0.01275,1.6256249999999997E-4,0.0,0.15056676409781136,0.022670350450885977,0.0
0,Lame MP3 Compression V2,1,0.11325,0.0128255625,0.0,0.13370133110633575,0.017876045939606025,0.0
0,Lame MP3 Compression V3,2,0.18575,0.0345030625,0.0,0.1266129607186141,0.01603084182193332,0.0
0,Lame MP3 Compression V4,3,0.30075,0.09045056250000001,0.0,0.11390277933373393,0.012973843139949284,0.0
0,Lame MP3 Compression V5,4,0.545,0.29702500000000004,0.0,0.09740398618989907,0.009487536525682048,0.0
0,Lame MP3 Compression V6,5,0.68425,0.4681980625,0.0,0.08652700404322276,0.007486922428695889,0.0
0,Lame MP3 Compression V7,6,0.6855,0.46991025,0.0,0.07974416686186844,0.006359132148493517,0.0
0,Lame MP3 Compression V8,7,0.92625,0.8579390625000001,0.0,0.06660623898807402,0.004436391072136432,0.0
0,Lame MP3 Compression V9,8,0.9605,0.9225602500000001,0.0,0.055220034830785525,0.0030492522467131665,0.0
0,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
0,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
0,Lame Constant MP3 Compression Bitrate 128,11,0.01625,2.6406250000000003E-4,0.0,0.17207630182607014,0.02961025365013679,0.0
0,Lame Constant MP3 Compression Bitrate 64,12,0.657,0.43164900000000006,0.0,0.08603815091303507,0.007402563412534198,0.0
1,Lame MP3 Compression V1,0,0.1225,0.015006249999999999,0.0,0.07758372363465663,0.006019234173018777,0.0
1,Lame MP3 Compression V2,1,0.16475,0.027142562500000002,0.0,0.07207860793120739,0.005195325721300713,0.0
1,Lame MP3 Compression V3,2,0.17375,0.030189062499999995,0.0,0.06990216683914607,0.004886312928807813,0.0
1,Lame MP3 Compression V4,3,0.29075,0.08453556250000001,0.0,0.06606138844139078,0.00436410704280432,0.0
1,Lame MP3 Compression V5,4,0.54625,0.2983890625,0.0,0.0606842986845334,0.003682584106833662,0.0
1,Lame MP3 Compression V6,5,0.78575,0.6174030624999999,0.0,0.057099572179961804,0.003260361143134668,0.0
1,Lame MP3 Compression V7,6,0.79175,0.6268680624999999,0.0,0.05492313108790048,0.0030165503284987,0.0
1,Lame MP3 Compression V8,7,0.86325,0.7452005624999999,0.0,0.029702019609307486,8.822099688716864E-4,0.0
1,Lame MP3 Compression V9,8,0.91575,0.8385980624999999,0.0,0.025103754360883804,6.301984830115926E-4,0.0
1,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
1,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
1,Lame Constant MP3 Compression Bitrate 128,11,0.00675,4.5562499999999996E-5,0.0,0.17206687221943648,0.029607008515379882,0.0
1,Lame Constant MP3 Compression Bitrate 64,12,0.5335,0.28462224999999997,0.0,0.08603343610971824,0.0074017521288449704,0.0
2,Lame MP3 Compression V1,0,0.028,7.840000000000001E-4,0.0,0.1503223375327175,0.022596805161300252,0.0
2,Lame MP3 Compression V2,1,0.12575,0.0158130625,0.0,0.13223477171577264,0.017486034850722504,0.0
2,Lame MP3 Compression V3,2,0.17475,0.030537562499999997,0.0,0.12490197476295715,0.015600503299686387,0.0
2,Lame MP3 Compression V4,3,0.2425,0.05880625,0.0,0.11268064650826468,0.0126969280975205,0.0
2,Lame MP3 Compression V5,4,0.49325,0.24329556250000003,0.0,0.09544857366914827,0.009110430215474825,0.0
2,Lame MP3 Compression V6,5,0.655,0.42902500000000005,0.0,0.08396052510973734,0.007049369776702834,0.0
2,Lame MP3 Compression V7,6,0.7345,0.5394902500000001,0.0,0.07479452891871799,0.005594221556172942,0.0
2,Lame MP3 Compression V8,7,0.914,0.835396,0.0,0.06330648035930705,0.00400771045548333,0.0
2,Lame MP3 Compression V9,8,0.94875,0.9001265625,0.0,0.05191009176180631,0.0026946576267191514,0.0
2,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
2,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
2,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17207630182607014,0.02961025365013679,0.0
2,Lame Constant MP3 Compression Bitrate 64,12,0.56975,0.3246150625,0.0,0.08603815091303507,0.007402563412534198,0.0
4,Lame MP3 Compression V1,0,0.01375,1.890625E-4,0.0,0.15286298023066008,0.023367090724999175,0.0
4,Lame MP3 Compression V2,1,0.10775,0.011610062499999999,0.0,0.1349393477078021,0.01820862755980712,0.0
4,Lame MP3 Compression V3,2,0.17275,0.029842562499999996,0.0,0.12725779091229156,0.016194545347876517,0.0
4,Lame MP3 Compression V4,3,0.26225,0.0687750625,0.0,0.1144551962531073,0.013099991949337307,0.0
