SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,COMPRESSION_RATIO
0,Lame MP3 Compression V1,0,0.0705,0.1422134910636117
0,Lame MP3 Compression V2,1,0.06475,0.12094552753517969
0,Lame MP3 Compression V3,2,0.23075,0.10813350131323268
0,Lame MP3 Compression V4,3,0.41425,0.09288719010911575
0,Lame MP3 Compression V5,4,0.543,0.07533471418504836
0,Lame MP3 Compression V6,5,0.6755,0.06393201084751554
0,Lame MP3 Compression V7,6,0.62575,0.059575921932053556
0,Lame MP3 Compression V8,7,0.60375,0.05675727616322521
0,Lame MP3 Compression V9,8,0,0.0440039717281288
1,Lame MP3 Compression V1,0,0.0605,0.1422134910636117
1,Lame MP3 Compression V2,1,0.05825,0.11940808438854605
1,Lame MP3 Compression V3,2,0.13425,0.10608357711772116
1,Lame MP3 Compression V4,3,0.4145,0.08814674040699537
1,Lame MP3 Compression V5,4,0.533,0.07161922658068373
1,Lame MP3 Compression V6,5,0,0.060729004292028786
1,Lame MP3 Compression V7,6,0.60225,0.05496359249215264
1,Lame MP3 Compression V8,7,0.559,0.05381051013217741
1,Lame MP3 Compression V9,8,0,0.04122803271337362
2,Lame MP3 Compression V1,0,0.05825,0.1460570989301958
2,Lame MP3 Compression V2,1,0.08675,0.12607033802395848
2,Lame MP3 Compression V3,2,0.2105,0.11453951442420619
2,Lame MP3 Compression V4,3,0.36775,0.10147124767782024
2,Lame MP3 Compression V5,4,0.5405,0.08391877175375285
2,Lame MP3 Compression V6,5,0.764,0.07187546710512267
2,Lame MP3 Compression V7,6,0.6855,0.06764749845188016
2,Lame MP3 Compression V8,7,0.77775,0.060472763767589845
2,Lame MP3 Compression V9,8,0.89625,0.04817321859452072
3,Lame MP3 Compression V1,0,0.02975,0.13697513249082754
3,Lame MP3 Compression V2,1,0.086,0.11251528740317979
3,Lame MP3 Compression V3,2,0.085,0.09563799429270281
3,Lame MP3 Compression V4,3,0.18,0.08157358336730534
3,Lame MP3 Compression V5,4,0.4655,0.060171218915613535
3,Lame MP3 Compression V6,5,0,0.05161027313493681
3,Lame MP3 Compression V7,6,0,0.04879739094985732
3,Lame MP3 Compression V8,7,0.59325,0.04317162657969833
3,Lame MP3 Compression V9,8,0,0.0357776192417448
4,Lame MP3 Compression V1,0,0.06475,0.15015694732121884
4,Lame MP3 Compression V2,1,0.1715,0.132476351134932
4,Lame MP3 Compression V3,2,0.22725,0.12555785697508062
4,Lame MP3 Compression V4,3,0.44075,0.11402703337532831
4,Lame MP3 Compression V5,4,0.5755,0.10198372872669813
4,Lame MP3 Compression V6,5,0.71025,0.09134974696248212
4,Lame MP3 Compression V7,6,0.80975,0.07802523969165724
4,Lame MP3 Compression V8,7,0.96975,0.06265080822532083
4,Lame MP3 Compression V9,8,0.97225,0.0516431423629647
5,Lame MP3 Compression V1,0,0.03075,0.14675907052588666
5,Lame MP3 Compression V2,1,0.05875,0.12278842233999185
5,Lame MP3 Compression V3,2,0.0795,0.10811251528740318
5,Lame MP3 Compression V4,3,0.181,0.09001222992254382
5,Lame MP3 Compression V5,4,0.422,0.06714227476559315
5,Lame MP3 Compression V6,5,0.57825,0.05479005299633102
5,Lame MP3 Compression V7,6,0.5945,0.04898083978801467
5,Lame MP3 Compression V8,7,0.6245,0.045984508764777825
5,Lame MP3 Compression V9,8,0,0.03312780269058296
6,Lame MP3 Compression V1,0,0.026,0.13811364267258866
6,Lame MP3 Compression V2,1,0.0495,0.11556447652196195
6,Lame MP3 Compression V3,2,0.087,0.09839636138455296
6,Lame MP3 Compression V4,3,0.13325,0.0816126070338024
6,Lame MP3 Compression V5,4,0.4155,0.06828809976297752
6,Lame MP3 Compression V6,5,0.591,0.05176058593666588
